"series","date","issue","url","volume","value","is_clean"
"pennsylvania_6pct","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,84.75,0
"US_6pct_1868","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,117,0
"virginia_6pct","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,95.5,0
"california_7pct_1870","1856-02-22","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,89.25,0
"georgia_6pct","1856-02-22","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,97,0
"indiana_5pct","1856-02-22","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,84.5,0
"kentucky_6pct","1856-02-22","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,100,0
"louisiana_6pct","1856-02-22","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,90.5,0
"missouri_6pct","1856-02-22","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,87,0
"north_carolina_6pct","1856-02-22","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,92.5,0
